brands,parts,pH,Ca,Mg,HCO3,K,Na,Cl,SO4,F,NO3,TDS,alkalinity,Ca2,Mg2,hardness,bica_ratio,ha_ratio
Distilled water + Aqua Carpatica 2L,1 + 0.5,7.323333333333333,15.966666666666667,4.5,72.56666666666666,0,0.27666666666666667,0,0,0,0.6,51.666666666666664,59.51918,39.868766666666666,18.531000000000002,58.399766666666665,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 1,7.484999999999999,23.95,6.75,108.85,0,0.415,0,0,0,0.9,77.5,89.27877,59.803149999999995,27.7965,87.59965,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 5L,1 + 1,7.25,12.2,3.245,57.35,0,1.25,0,0,0,1.45,56,47.038470000000004,30.463399999999996,13.362910000000001,43.82631,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 1.5,7.3,14.639999999999997,3.8939999999999997,68.82000000000001,0,1.5,0,0,0,1.7399999999999998,67.2,56.44616400000001,36.556079999999994,16.035492,52.591572,4.700819672131149,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 2,7.333333333333333,16.266666666666666,4.326666666666667,76.46666666666667,0,1.6666666666666667,0,0,0,1.9333333333333333,74.66666666666667,62.717960000000005,40.617866666666664,17.817213333333335,58.43508,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 2.5,7.357142857142857,17.428571428571427,4.635714285714286,81.92857142857143,0,1.7857142857142858,0,0,0,2.0714285714285716,80,67.19781428571429,43.51914285714285,19.08987142857143,62.60901428571428,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 3,7.375,18.299999999999997,4.8675,86.025,0,1.875,0,0,0,2.175,84,70.55770500000001,45.69509999999999,20.044365,65.739465,4.700819672131148,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 3.5,7.388888888888889,18.977777777777774,5.047777777777778,89.21111111111111,0,1.9444444444444444,0,0,0,2.2555555555555555,87.11111111111111,73.17095333333333,47.3875111111111,20.78674888888889,68.17425999999999,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 4,7.4,19.52,5.192,91.76,0,2,0,0,0,2.32,89.6,75.26155200000001,48.74144,21.380656000000002,70.122096,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 4.5,7.409090909090909,19.963636363636365,5.3100000000000005,93.84545454545454,0,2.0454545454545454,0,0,0,2.3727272727272726,91.63636363636364,76.97204181818182,49.8492,21.866580000000003,71.71578000000001,4.700819672131147,0.9317120646143466
Distilled water + Aqua Carpatica 5L,1 + 5,7.416666666666667,20.333333333333332,5.408333333333334,95.58333333333333,0,2.0833333333333335,0,0,0,2.4166666666666665,93.33333333333333,78.39745,50.77233333333333,22.27151666666667,73.04384999999999,4.700819672131147,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 5.5,7.423076923076923,20.646153846153844,5.491538461538462,97.05384615384615,0,2.1153846153846154,0,0,0,2.4538461538461536,94.76923076923077,79.60356461538461,51.553446153846146,22.614155384615387,74.16760153846153,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 6,7.428571428571429,20.91428571428571,5.562857142857142,98.31428571428572,0,2.142857142857143,0,0,0,2.4857142857142853,96,80.63737714285715,52.22297142857142,22.907845714285713,75.13081714285713,4.700819672131148,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 6.5,7.433333333333334,21.146666666666665,5.624666666666667,99.40666666666668,0,2.1666666666666665,0,0,0,2.513333333333333,97.06666666666666,81.53334800000002,52.80322666666666,23.16237733333334,75.965604,4.700819672131149,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 7,7.4375,21.349999999999998,5.67875,100.3625,0,2.1875,0,0,0,2.5375,98,82.3173225,53.31094999999999,23.385092500000003,76.69604249999999,4.700819672131148,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 7.5,7.4411764705882355,21.529411764705884,5.726470588235294,101.20588235294117,0,2.2058823529411766,0,0,0,2.5588235294117645,98.82352941176471,83.00906470588235,53.75894117647059,23.581605882352942,77.34054705882353,4.700819672131147,0.9317120646143465
Distilled water + Aqua Carpatica 5L,1 + 8,7.444444444444445,21.688888888888886,5.768888888888889,101.95555555555556,0,2.2222222222222223,0,0,0,2.5777777777777775,99.55555555555556,83.62394666666668,54.15715555555555,23.756284444444447,77.91344,4.700819672131148,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 8.5,7.447368421052632,21.831578947368417,5.806842105263158,102.6263157894737,0,2.236842105263158,0,0,0,2.594736842105263,100.21052631578948,84.17410421052632,54.513452631578936,23.912575789473685,78.42602842105262,4.700819672131149,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 9,7.45,21.96,5.841,103.22999999999999,0,2.25,0,0,0,2.61,100.8,84.669246,54.83412,24.053238000000004,78.887358,4.700819672131147,0.9317120646143465
Distilled water + Aqua Carpatica 5L,1 + 9.5,7.4523809523809526,22.076190476190476,5.871904761904762,103.77619047619048,0,2.261904761904762,0,0,0,2.623809523809524,101.33333333333333,85.11723142857143,55.124247619047615,24.180503809523813,79.30475142857142,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 10,7.454545454545454,22.181818181818183,5.9,104.27272727272727,0,2.272727272727273,0,0,0,2.6363636363636362,101.81818181818181,85.52449090909091,55.388,24.296200000000002,79.6842,4.700819672131147,0.9317120646143465
Distilled water + Bucovina 2L,1 + 2,7.18,6.084,1.6733333333333331,28.46666666666667,0.8746666666666667,2.0153333333333334,3.3333333333333335,2.606666666666667,0.02,2.62,52,23.348360000000003,15.191747999999999,6.890786666666666,22.082534666666664,4.67893929432391,0.945785257151537
Distilled water + Bucovina 2L,1 + 2.5,7.192857142857142,6.518571428571428,1.7928571428571427,30.5,0.9371428571428572,2.1592857142857143,3.5714285714285716,2.792857142857143,0.02142857142857143,2.8071428571428574,55.714285714285715,25.0161,16.276872857142855,7.382985714285714,23.65985857142857,4.67893929432391,0.945785257151537
Distilled water + Bucovina 2L,1 + 3,7.2025,6.8445,1.8824999999999998,32.025000000000006,0.984,2.26725,3.75,2.9325,0.0225,2.9475000000000002,58.5,26.266905000000005,17.0907165,7.752135,24.8428515,4.678939294323911,0.945785257151537
Distilled water + Bucovina 2L,1 + 3.5,7.21,7.098,1.9522222222222223,33.211111111111116,1.0204444444444445,2.3512222222222223,3.888888888888889,3.0411111111111113,0.02333333333333333,3.0566666666666666,60.666666666666664,27.23975333333334,17.723706,8.039251111111112,25.762957111111113,4.678939294323911,0.9457852571515372
Distilled water + Bucovina 2L,1 + 4,7.215999999999999,7.3008,2.008,34.160000000000004,1.0496,2.4184,4,3.128,0.024,3.144,62.4,28.018032000000005,18.230097599999997,8.268944000000001,26.499041599999998,4.678939294323911,0.945785257151537
Distilled water + Bucovina 2L,1 + 4.5,7.22090909090909,7.466727272727272,2.0536363636363633,34.93636363636364,1.0734545454545454,2.4733636363636364,4.090909090909091,3.1990909090909088,0.024545454545454547,3.215454545454546,63.81818181818182,28.654805454545457,18.644417999999998,8.456874545454545,27.10129254545454,4.67893929432391,0.945785257151537
Distilled water + Bucovina 2L,1 + 5,7.224999999999999,7.6049999999999995,2.0916666666666663,35.583333333333336,1.0933333333333335,2.5191666666666666,4.166666666666667,3.2583333333333333,0.024999999999999998,3.2750000000000004,65,29.185450000000003,18.989684999999998,8.613483333333333,27.60316833333333,4.67893929432391,0.945785257151537
Distilled water + Bucovina 2L,1 + 5.5,7.228461538461539,7.7219999999999995,2.123846153846154,36.13076923076923,1.1101538461538463,2.557923076923077,4.230769230769231,3.308461538461539,0.02538461538461538,3.325384615384616,66,29.634456923076925,19.281833999999996,8.745998461538463,28.02783246153846,4.67893929432391,0.9457852571515372
Distilled water + Bucovina 2L,1 + 6,7.231428571428571,7.822285714285714,2.1514285714285712,36.60000000000001,1.1245714285714286,2.591142857142857,4.285714285714286,3.3514285714285714,0.025714285714285714,3.3685714285714288,66.85714285714286,30.019320000000008,19.532247428571427,8.859582857142858,28.391830285714285,4.678939294323911,0.945785257151537
Distilled water + Bucovina 2L,1 + 6.5,7.233999999999999,7.909199999999999,2.175333333333333,37.00666666666667,1.1370666666666667,2.6199333333333334,4.333333333333333,3.3886666666666665,0.026000000000000002,3.406,67.6,30.352868,19.7492724,8.958022666666666,28.707295066666667,4.67893929432391,0.9457852571515373
Distilled water + Bucovina 2L,1 + 7,7.23625,7.98525,2.19625,37.362500000000004,1.1480000000000001,2.645125,4.375,3.42125,0.02625,3.43875,68.25,30.644722500000004,19.93916925,9.0441575,28.98332675,4.678939294323911,0.9457852571515372
Distilled water + Bucovina 2L,1 + 7.5,7.238235294117647,8.05235294117647,2.2147058823529413,37.6764705882353,1.1576470588235295,2.6673529411764707,4.411764705882353,3.45,0.026470588235294114,3.4676470588235295,68.82352941176471,30.902241176470593,20.10672529411764,9.120158823529414,29.226884117647053,4.678939294323911,0.9457852571515369
