brands,parts,pH,Ca,Mg,HCO3,K,Na,Cl,SO4,F,NO3,TDS,alkalinity,Ca2,Mg2,hardness,bica_ratio,ha_ratio
Distilled water + Aqua Carpatica 2L,1 + 0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distilled water + Aqua Carpatica 2L,1 + 0.5,7.323333333333333,15.966666666666667,4.5,72.56666666666666,0,0.27666666666666667,0,0,0,0.6,51.666666666666664,59.51918,39.868766666666666,18.531000000000002,58.399766666666665,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 1,7.484999999999999,23.95,6.75,108.85,0,0.415,0,0,0,0.9,77.5,89.27877,59.803149999999995,27.7965,87.59965,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 1.5,7.581999999999999,28.74,8.1,130.61999999999998,0,0.49799999999999994,0,0,0,1.08,93,107.13452399999998,71.76378,33.3558,105.11958,4.544885177453026,0.9811923932195752
Distilled water + Aqua Carpatica 2L,1 + 2,7.646666666666666,31.933333333333334,9,145.13333333333333,0,0.5533333333333333,0,0,0,1.2,103.33333333333333,119.03836,79.73753333333333,37.062000000000005,116.79953333333333,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 2.5,7.692857142857143,34.214285714285715,9.642857142857142,155.5,0,0.5928571428571427,0,0,0,1.2857142857142858,110.71428571428571,127.5411,85.43307142857142,39.70928571428571,125.14235714285714,4.544885177453027,0.981192393219575
Distilled water + Aqua Carpatica 2L,1 + 3,7.7275,35.925,10.125,163.27499999999998,0,0.6224999999999999,0,0,0,1.35,116.25,133.91815499999998,89.70472499999998,41.694750000000006,131.399475,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 3.5,7.754444444444443,37.25555555555556,10.5,169.3222222222222,0,0.6455555555555555,0,0,0,1.4,120.55555555555556,138.87808666666666,93.02712222222223,43.239000000000004,136.26612222222224,4.5448851774530254,0.9811923932195752
Distilled water + Aqua Carpatica 2L,1 + 4,7.775999999999999,38.32,10.8,174.16,0,0.6639999999999999,0,0,0,1.44,124,142.846032,95.68504,44.47440000000001,140.15944000000002,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 4.5,7.793636363636364,39.19090909090909,11.045454545454545,178.11818181818182,0,0.6790909090909091,0,0,0,1.4727272727272727,126.81818181818181,146.09253272727273,97.85969999999999,45.48518181818182,143.34488181818182,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 5,7.808333333333334,39.916666666666664,11.25,181.41666666666666,0,0.6916666666666665,0,0,0,1.5,129.16666666666666,148.79795,99.67191666666666,46.3275,145.99941666666666,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 5.5,7.820769230769231,40.53076923076923,11.423076923076923,184.2076923076923,0,0.7023076923076922,0,0,0,1.5230769230769232,131.15384615384616,151.08714923076923,101.20533076923077,47.040230769230774,148.24556153846154,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 6,7.831428571428572,41.05714285714286,11.571428571428571,186.59999999999997,0,0.7114285714285714,0,0,0,1.542857142857143,132.85714285714286,153.04931999999997,102.51968571428571,47.65114285714286,150.17082857142856,4.544885177453026,0.9811923932195752
Distilled water + Aqua Carpatica 2L,1 + 6.5,7.8406666666666665,41.51333333333333,11.7,188.67333333333332,0,0.7193333333333333,0,0,0,1.56,134.33333333333334,154.749868,103.65879333333332,48.1806,151.8393933333333,4.544885177453027,0.981192393219575
Distilled water + Aqua Carpatica 2L,1 + 7,7.84875,41.9125,11.8125,190.48749999999998,0,0.72625,0,0,0,1.575,135.625,156.2378475,104.6555125,48.643875,153.2993875,4.544885177453026,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 7.5,7.855882352941177,42.26470588235294,11.911764705882353,192.08823529411765,0,0.7323529411764705,0,0,0,1.588235294117647,136.76470588235293,157.5507705882353,105.5349705882353,49.05264705882353,154.58761764705883,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 8,7.862222222222221,42.577777777777776,12,193.5111111111111,0,0.7377777777777778,0,0,0,1.6,137.77777777777777,158.71781333333334,106.3167111111111,49.416000000000004,155.73271111111112,4.544885177453027,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 8.5,7.867894736842106,42.857894736842105,12.078947368421053,194.78421052631577,0,0.7426315789473684,0,0,0,1.6105263157894738,138.68421052631578,159.7620094736842,107.01616315789474,49.7411052631579,156.75726842105263,4.544885177453026,0.9811923932195751
Distilled water + Aqua Carpatica 2L,1 + 9,7.873,43.11,12.15,195.93,0,0.747,0,0,0,1.6199999999999999,139.5,160.70178600000003,107.64567,50.0337,157.67937,4.544885177453027,0.981192393219575
Distilled water + Aqua Carpatica 2L,1 + 9.5,7.8776190476190475,43.33809523809524,12.214285714285714,196.96666666666667,0,0.7509523809523809,0,0,0,1.6285714285714288,140.23809523809524,161.55206,108.21522380952382,50.29842857142857,158.5136523809524,4.544885177453026,0.9811923932195752
Distilled water + Aqua Carpatica 2L,1 + 10,7.881818181818182,43.54545454545455,12.272727272727273,197.9090909090909,0,0.7545454545454544,0,0,0,1.6363636363636365,140.9090909090909,162.32503636363637,108.733,50.539090909090916,159.27209090909093,4.544885177453027,0.9811923932195752
Distilled water + Aqua Carpatica 5L,1 + 0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distilled water + Aqua Carpatica 5L,1 + 0.5,7.166666666666667,8.133333333333333,2.1633333333333336,38.233333333333334,0,0.8333333333333334,0,0,0,0.9666666666666667,37.333333333333336,31.358980000000003,20.308933333333332,8.908606666666667,29.21754,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 1,7.25,12.2,3.245,57.35,0,1.25,0,0,0,1.45,56,47.038470000000004,30.463399999999996,13.362910000000001,43.82631,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 1.5,7.3,14.639999999999997,3.8939999999999997,68.82000000000001,0,1.5,0,0,0,1.7399999999999998,67.2,56.44616400000001,36.556079999999994,16.035492,52.591572,4.700819672131149,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 2,7.333333333333333,16.266666666666666,4.326666666666667,76.46666666666667,0,1.6666666666666667,0,0,0,1.9333333333333333,74.66666666666667,62.717960000000005,40.617866666666664,17.817213333333335,58.43508,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 2.5,7.357142857142857,17.428571428571427,4.635714285714286,81.92857142857143,0,1.7857142857142858,0,0,0,2.0714285714285716,80,67.19781428571429,43.51914285714285,19.08987142857143,62.60901428571428,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 3,7.375,18.299999999999997,4.8675,86.025,0,1.875,0,0,0,2.175,84,70.55770500000001,45.69509999999999,20.044365,65.739465,4.700819672131148,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 3.5,7.388888888888889,18.977777777777774,5.047777777777778,89.21111111111111,0,1.9444444444444444,0,0,0,2.2555555555555555,87.11111111111111,73.17095333333333,47.3875111111111,20.78674888888889,68.17425999999999,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 4,7.4,19.52,5.192,91.76,0,2,0,0,0,2.32,89.6,75.26155200000001,48.74144,21.380656000000002,70.122096,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 4.5,7.409090909090909,19.963636363636365,5.3100000000000005,93.84545454545454,0,2.0454545454545454,0,0,0,2.3727272727272726,91.63636363636364,76.97204181818182,49.8492,21.866580000000003,71.71578000000001,4.700819672131147,0.9317120646143466
Distilled water + Aqua Carpatica 5L,1 + 5,7.416666666666667,20.333333333333332,5.408333333333334,95.58333333333333,0,2.0833333333333335,0,0,0,2.4166666666666665,93.33333333333333,78.39745,50.77233333333333,22.27151666666667,73.04384999999999,4.700819672131147,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 5.5,7.423076923076923,20.646153846153844,5.491538461538462,97.05384615384615,0,2.1153846153846154,0,0,0,2.4538461538461536,94.76923076923077,79.60356461538461,51.553446153846146,22.614155384615387,74.16760153846153,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 6,7.428571428571429,20.91428571428571,5.562857142857142,98.31428571428572,0,2.142857142857143,0,0,0,2.4857142857142853,96,80.63737714285715,52.22297142857142,22.907845714285713,75.13081714285713,4.700819672131148,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 6.5,7.433333333333334,21.146666666666665,5.624666666666667,99.40666666666668,0,2.1666666666666665,0,0,0,2.513333333333333,97.06666666666666,81.53334800000002,52.80322666666666,23.16237733333334,75.965604,4.700819672131149,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 7,7.4375,21.349999999999998,5.67875,100.3625,0,2.1875,0,0,0,2.5375,98,82.3173225,53.31094999999999,23.385092500000003,76.69604249999999,4.700819672131148,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 7.5,7.4411764705882355,21.529411764705884,5.726470588235294,101.20588235294117,0,2.2058823529411766,0,0,0,2.5588235294117645,98.82352941176471,83.00906470588235,53.75894117647059,23.581605882352942,77.34054705882353,4.700819672131147,0.9317120646143465
Distilled water + Aqua Carpatica 5L,1 + 8,7.444444444444445,21.688888888888886,5.768888888888889,101.95555555555556,0,2.2222222222222223,0,0,0,2.5777777777777775,99.55555555555556,83.62394666666668,54.15715555555555,23.756284444444447,77.91344,4.700819672131148,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 8.5,7.447368421052632,21.831578947368417,5.806842105263158,102.6263157894737,0,2.236842105263158,0,0,0,2.594736842105263,100.21052631578948,84.17410421052632,54.513452631578936,23.912575789473685,78.42602842105262,4.700819672131149,0.9317120646143463
Distilled water + Aqua Carpatica 5L,1 + 9,7.45,21.96,5.841,103.22999999999999,0,2.25,0,0,0,2.61,100.8,84.669246,54.83412,24.053238000000004,78.887358,4.700819672131147,0.9317120646143465
Distilled water + Aqua Carpatica 5L,1 + 9.5,7.4523809523809526,22.076190476190476,5.871904761904762,103.77619047619048,0,2.261904761904762,0,0,0,2.623809523809524,101.33333333333333,85.11723142857143,55.124247619047615,24.180503809523813,79.30475142857142,4.700819672131148,0.9317120646143464
Distilled water + Aqua Carpatica 5L,1 + 10,7.454545454545454,22.181818181818183,5.9,104.27272727272727,0,2.272727272727273,0,0,0,2.6363636363636362,101.81818181818181,85.52449090909091,55.388,24.296200000000002,79.6842,4.700819672131147,0.9317120646143465
Distilled water + Bucovina 2L,1 + 0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distilled water + Bucovina 2L,1 + 0.5,7.09,3.042,0.8366666666666666,14.233333333333334,0.43733333333333335,1.0076666666666667,1.6666666666666667,1.3033333333333335,0.01,1.31,26,11.674180000000002,7.595873999999999,3.445393333333333,11.041267333333332,4.67893929432391,0.945785257151537
Distilled water + Bucovina 2L,1 + 1,7.135,4.563,1.255,21.35,0.656,1.5115,2.5,1.955,0.015,1.965,39,17.511270000000003,11.393811,5.16809,16.561901,4.67893929432391,0.945785257151537
Distilled water + Bucovina 2L,1 + 1.5,7.162000000000001,5.4756,1.5059999999999998,25.620000000000005,0.7872,1.8138,3,2.346,0.018,2.358,46.8,21.013524000000004,13.672573199999999,6.201708,19.8742812,4.678939294323911,0.945785257151537
Distilled water + Bucovina 2L,1 + 2,7.18,6.084,1.6733333333333331,28.46666666666667,0.8746666666666667,2.0153333333333334,3.3333333333333335,2.606666666666667,0.02,2.62,52,23.348360000000003,15.191747999999999,6.890786666666666,22.082534666666664,4.67893929432391,0.945785257151537
