Brand,pH,Ca,Mg,HCO3,K,Na,Cl,SO4,NO3,TDS
Distilled water,7,0,0,0,0,0,0,0,0,0
Aqua Carpatica 2L,7.89,40.5,13.1,181,0,1.34,0,0,1.8,132
Aqua Carpatica 5L,7.5,24.4,6.49,114.7,0,2.5,0,0,2.9,112
Bucovina 2L,7.31,9.2,2.4,42.7,1.4,2,5,3.91,4.29,72
Keia,7.6,40,1.93,170.8,0,4.82,0,0,0.03,187
Zizin 2L,7.2,73.65,3.1,250.1,1.078,8.655,16.379,40,0.05,233
Izvorul Minunilor,7,17.2,3.3,71.8,0.6,0.9,0,0,0,82
Carpatina,8.3,57.04,3.094,164.7,0.348,0.295,3.26,19.34,0,166
Borsec 2L,7.42,53.1,32.5,317,0,2.05,0,0,0,352
Vittel,7.8,240,20,384,5,5.2,4,400,0.5,1084
Smart Water,7.5,61,4.5,24,4.6,0,0,2,0.05,209
Evian,7.2,80,26,360,1,6.5,10,14,3.8,345
Aquatique,7.55,29.6,1.81,110,0,0.96,0,6.3,0,126
San Benedetto,7.46,51.4,29.7,296,0.97,6,2.6,4.2,9,264
Cheile Bicazului,7.6,95.8,14.1,357,7,13.25,16,30,0,450
Perenna,7.2,94.9,7.8,327.3,0.6,1.7,1,15.8,0,329
Aqua Panna,8,32.2,6.5,106,0.8,6.6,7.8,22,2.9,141
Azuga,8.2,43.2,6.29,161,0.75,2.59,3.37,0,0.01,191
Dorna,7.71,62.73,1.46,191,0.4,0.93,4.8,0,7.2,192
Artesia,7,131.7,14.4,538.3,2.46,27,0,0,0,465.5
Perla Harghitei,7,118,12.5,327,1.81,6.81,17.3,17.7,0,428
Aquavia 2L,9.4,2.8,0,158,0.32,65.7,0,0,1,160
Biborteni 2L,6.36,65.32,17.09,0,7.268,18.65,5,39.9,1,380

