Brand,pH,Ca,Mg,HCO3,K,Na,Cl,SO4,F,NO3,TDS
Distilled water,7,0,0,0,0,0,0,0,0,0,0
Aqua Carpatica 2L,7.97,47.9,13.5,217.7,0,0.83,0,0,0,1.8,155
Aqua Carpatica 5L,7.5,24.4,6.49,114.7,0,2.5,0,0,0,2.9,112
Bucovina 2L,7.27,9.126,2.51,42.7,1.312,3.023,5,3.91,0.03,3.93,78
Keia 2L,7.6,40,1.93,170.8,0,4.82,0,0,0,0.03,187
Zizin 2L,7,71.73,3.31,231.8,0.59,5.08,14.97,23,0,0,207
Izvorul Minunilor,7,17.2,3.45,71.8,0.53,0.74,0,0,0,0,81.4
Carpatina 2L,8.3,57.04,3.094,164.7,0.348,0.295,3.26,19.34,0,0,166
Borsec,7.44,62.57,28.71,324.5,0,2.36,0,0,0,0,275
Vittel 0.75L,7.8,94,20,248,5,7.7,4,120,0,0.5,400
Smart Water,7.5,61,4.5,22,4.6,0.1,125,2,0,0.05,209
